Reporting Date,Furnace,cast,coke_rate_day,coke_rate_cum,productivity_day,productivity_cum,sinter_burden_day,sinter_burden_cum,temperature,Charge,Last-Si,Last-Mn,Last-S,PCI_day,PCI_cum,Coke_ratio_day,Coke_ratio_cum,Hot_metal_day,Hot_Metal_cum,Character Field Length = 10,PCI_day,PCI_cum,Sinter_day,sinter_cum,coke_day,coke_cum,nut_coke_day,nut_coke_cum,nut_coke_rate_day,nut_coke_rate_cum,Ironore_day,Ironore_cum,Sulpher_min,Sulpher_max,H2_top,O2,N2,SlagRate,Pellet_day,Pellet_cum,Pellet_rate_day,Pellet_rate_cum,scrap_day,scrap_cum,fuel_rate_day,fuel_rate_cum,o2_enrichment_day,o2_enrichment_cum,temp_day,temp_cum
4/1/2023,V,13,487,487,1.769,1.769,71,71,1150,99,0.770,0.040,0.027,201.73,201.73,1.66,,6137,6137,,1238,1238,9294,9294,2989,2989,311,311,50.68,50.68,2205,2205,0.027,0.045,,19697,,424,1645,1645,13,13,0,0,,,,,,
4/2/2023,I,10,475,488,1.510,1.501,74,74,1153,146,0.790,0.040,0.037,86.18,91.82,1.85,,2251,4476,,194,411,2731,5630,1070,2185,72,145,31.99,32.39,953,1995,0.032,0.049,,4277,,401,0,0,0,0,0,0,,,,,,
4/2/2023,IV,9,539,544,1.347,1.397,73,73,973,151,0.730,0.030,0.039,94.87,92.91,1.37,,1950,4047,,185,376,2530,5200,1051,2201,63,121,32.31,29.90,913,1884,0.035,0.052,,2531,,402,0,0,0,0,0,0,,,,,,
4/2/2023,TOT,32,442,471,1.708,1.670,71,72,,402,,,,132.65,144.73,,,9946,20405,,1452,3098,13700,28563,4835,10089,419,861,38.28,40.22,4004,8222,,,,,,,1484,3129,8,8,0,0,,,,,,
4/2/2023,V,13,402,443,1.944,1.856,70,70,1125,105,0.860,0.050,0.040,159.08,179.40,1.66,,5745,11882,,1073,2311,8439,17733,2714,5703,284,595,42.11,46.19,2138,4343,0.023,0.045,,17250,,410,1484,3129,12,12,0,0,,,,,,
4/3/2023,I,9,485,487,1.456,1.486,73,74,1145,153,0.700,0.020,0.052,79.69,87.86,1.70,,2171,6647,,173,584,2830,8460,1053,3238,75,220,34.55,33.10,1024,3019,0.028,0.052,,4220,,403,0,0,0,0,0,0,,,,,,
4/3/2023,IV,7,574,553,1.338,1.378,72,73,939,154,0.750,0.020,0.049,65.05,83.89,1.43,,1937,5984,,126,502,2475,7675,1111,3312,58,179,29.94,29.91,958,2842,0.034,0.049,,2293,,401,0,0,0,0,0,0,,,,,,
4/3/2023,TOT,31,433,457,1.948,1.763,71,71,,433,,,,124.33,137.22,,,12483,32888,,1552,4650,15639,44202,5410,15499,474,1335,37.97,39.39,4480,12702,,,,,,,1892,5021,9,8,0,0,,,,,,
4/3/2023,V,15,388,421,2.414,2.042,70,70,1147,126,0.790,0.060,0.025,149.61,167.66,1.52,,8375,20256,,1253,3564,10334,28067,3246,8949,341,936,40.72,44.03,2498,6841,0.025,0.046,,27582,,398,1892,5021,13,13,0,0,,,,,,
4/4/2023,I,11,475,484,1.496,1.489,73,74,1155,153,0.880,0.020,0.050,82.47,86.51,1.52,,2231,8878,,184,768,2866,11326,1060,4298,71,291,31.82,32.78,1039,4058,0.034,0.050,,4688,,397,0,0,0,0,0,0,,,,,,
